        Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
   179  7500  4.00 -4.00  2.00  1.25  0.00 -18.233 -18.592 -18.211 -25.386  -0.204  -0.050   0.222   0.206
   180  7500  4.50 -4.00  2.00  1.25  0.00 -18.255 -18.533 -18.173 -25.386  -0.241  -0.132   0.244   0.228
   181  7500  5.00 -4.00  2.00  1.25  0.00 -18.287 -18.479 -18.139 -25.386  -0.275  -0.217   0.263   0.247
   182  7750  1.00 -4.00  2.00  1.25  0.00 -18.540 -19.043 -18.470 -25.529  -0.087   0.084   0.031   0.015
   183  7750  1.50 -4.00  2.00  1.25  0.00 -18.501 -19.041 -18.466 -25.529  -0.091   0.123   0.028   0.012
   184  7750  2.00 -4.00  2.00  1.25  0.00 -18.454 -19.013 -18.457 -25.529  -0.100   0.143   0.047   0.031
   185  7750  2.50 -4.00  2.00  1.25  0.00 -18.413 -18.971 -18.442 -25.529  -0.115   0.142   0.075   0.059
   186  7750  3.00 -4.00  2.00  1.25  0.00 -18.385 -18.912 -18.425 -25.529  -0.132   0.114   0.116   0.100
   187  7750  3.50 -4.00  2.00  1.25  0.00 -18.374 -18.845 -18.401 -25.529  -0.156   0.060   0.159   0.143
   188  7750  4.00 -4.00  2.00  1.25  0.00 -18.377 -18.780 -18.367 -25.529  -0.190  -0.008   0.191   0.175
   189  7750  4.50 -4.00  2.00  1.25  0.00 -18.393 -18.716 -18.329 -25.529  -0.228  -0.087   0.217   0.201
   190  7750  5.00 -4.00  2.00  1.25  0.00 -18.422 -18.657 -18.292 -25.529  -0.265  -0.174   0.238   0.222
   191  8000  1.00 -4.00  2.00  1.25  0.00 -18.700 -19.145 -18.578 -25.667  -0.116   0.028   0.037   0.021
   192  8000  1.50 -4.00  2.00  1.25  0.00 -18.671 -19.176 -18.583 -25.667  -0.112   0.086   0.010  -0.006
   193  8000  2.00 -4.00  2.00  1.25  0.00 -18.623 -19.161 -18.579 -25.667  -0.116   0.120   0.021   0.005
   194  8000  2.50 -4.00  2.00  1.25  0.00 -18.578 -19.127 -18.569 -25.667  -0.126   0.134   0.045   0.029
   195  8000  3.00 -4.00  2.00  1.25  0.00 -18.541 -19.082 -18.555 -25.667  -0.140   0.126   0.076   0.060
   196  8000  3.50 -4.00  2.00  1.25  0.00 -18.520 -19.022 -18.538 -25.667  -0.157   0.089   0.119   0.103
   197  8000  4.00 -4.00  2.00  1.25  0.00 -18.517 -18.956 -18.513 -25.667  -0.182   0.028   0.160   0.144
   198  8000  4.50 -4.00  2.00  1.25  0.00 -18.527 -18.891 -18.478 -25.667  -0.217  -0.046   0.190   0.174
   199  8000  5.00 -4.00  2.00  1.25  0.00 -18.551 -18.828 -18.439 -25.667  -0.256  -0.133   0.215   0.199
   200  8250  1.00 -4.00  2.00  1.25  0.00 -18.841 -19.210 -18.661 -25.800  -0.167  -0.049   0.055   0.039
   201  8250  1.50 -4.00  2.00  1.25  0.00 -18.830 -19.286 -18.684 -25.800  -0.145   0.037   0.001  -0.015
   202  8250  2.00 -4.00  2.00  1.25  0.00 -18.785 -19.288 -18.685 -25.800  -0.143   0.084   0.001  -0.015
   203  8250  2.50 -4.00  2.00  1.25  0.00 -18.735 -19.264 -18.681 -25.800  -0.147   0.113   0.020   0.004
   204  8250  3.00 -4.00  2.00  1.25  0.00 -18.691 -19.227 -18.672 -25.800  -0.157   0.120   0.049   0.033
   205  8250  3.50 -4.00  2.00  1.25  0.00 -18.661 -19.179 -18.658 -25.800  -0.171   0.104   0.082   0.066
   206  8250  4.00 -4.00  2.00  1.25  0.00 -18.651 -19.119 -18.642 -25.800  -0.186   0.057   0.127   0.111
   207  8250  4.50 -4.00  2.00  1.25  0.00 -18.656 -19.055 -18.615 -25.800  -0.213  -0.011   0.164   0.148
   208  8250  5.00 -4.00  2.00  1.25  0.00 -18.674 -18.991 -18.580 -25.800  -0.249  -0.094   0.192   0.176
