
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B    B-V(J)  B-V(H) 
  198  8000  4.50 -1.50  4.00  1.25  0.00 -18.536 -18.924 -18.514 -25.667  -0.179  -0.021   0.193   0.177
  199  8000  5.00 -1.50  4.00  1.25  0.00 -18.556 -18.864 -18.478 -25.667  -0.215  -0.102   0.218   0.202
  200  8250  1.50 -1.50  4.00  1.25  0.00 -18.885 -19.308 -18.707 -25.800  -0.120   0.004   0.002  -0.014
  201  8250  2.00 -1.50  4.00  1.25  0.00 -18.832 -19.313 -18.711 -25.800  -0.116   0.063   0.001  -0.015
  202  8250  2.50 -1.50  4.00  1.25  0.00 -18.774 -19.292 -18.708 -25.800  -0.118   0.101   0.020   0.004
  203  8250  3.00 -1.50  4.00  1.25  0.00 -18.722 -19.255 -18.700 -25.800  -0.127   0.118   0.048   0.032
  204  8250  3.50 -1.50  4.00  1.25  0.00 -18.684 -19.207 -18.686 -25.800  -0.141   0.110   0.082   0.066
  205  8250  4.00 -1.50  4.00  1.25  0.00 -18.666 -19.147 -18.670 -25.800  -0.157   0.070   0.126   0.110
  206  8250  4.50 -1.50  4.00  1.25  0.00 -18.667 -19.084 -18.646 -25.800  -0.181   0.007   0.165   0.149
  207  8250  5.00 -1.50  4.00  1.25  0.00 -18.682 -19.022 -18.613 -25.800  -0.214  -0.070   0.195   0.179
  208  8500  1.50 -1.50  4.00  1.25  0.00 -19.034 -19.396 -18.793 -25.930  -0.163  -0.057   0.001  -0.015
  209  8500  2.00 -1.50  4.00  1.25  0.00 -18.987 -19.420 -18.804 -25.930  -0.152   0.014  -0.013  -0.029
  210  8500  2.50 -1.50  4.00  1.25  0.00 -18.928 -19.411 -18.806 -25.930  -0.151   0.065  -0.002  -0.018
